"machine","timestamp","date","column","product_name"
1506,2017-02-18 03:27:38,2017-02-18,57,"water_(sparkling)_1"
1506,2017-02-18 02:45:17,2017-02-18,57,"water_(sparkling)_1"
1506,2017-02-18 02:20:38,2017-02-18,58,"water_(sparkling)_1"
1506,2017-02-18 00:07:49,2017-02-18,58,"water_(sparkling)_1"
1506,2017-02-17 18:09:30,2017-02-17,57,"water_(sparkling)_1"
1506,2017-02-16 23:49:49,2017-02-16,57,"water_(sparkling)_1"
1506,2017-02-16 23:14:28,2017-02-16,57,"water_(sparkling)_1"
1506,2017-02-16 22:11:59,2017-02-16,57,"water_(sparkling)_1"
1506,2017-02-16 15:59:40,2017-02-16,57,"water_(sparkling)_1"
1506,2017-02-15 11:36:38,2017-02-15,58,"water_(sparkling)_1"
1506,2017-02-14 22:31:58,2017-02-14,58,"water_(sparkling)_1"
1506,2017-02-14 22:22:42,2017-02-14,57,"water_(sparkling)_1"
1506,2017-02-26 02:03:58,2017-02-26,58,"water_(sparkling)_1"
1506,2017-02-26 00:48:11,2017-02-26,58,"water_(sparkling)_1"
1506,2017-02-26 00:32:05,2017-02-26,58,"water_(sparkling)_1"
1506,2017-02-25 23:54:36,2017-02-25,57,"water_(sparkling)_1"
1506,2017-02-25 21:54:59,2017-02-25,57,"water_(sparkling)_1"
1506,2017-02-25 19:23:18,2017-02-25,58,"water_(sparkling)_1"
1506,2017-02-25 04:39:03,2017-02-25,57,"water_(sparkling)_1"
1506,2017-02-25 04:38:58,2017-02-25,57,"water_(sparkling)_1"
1506,2017-02-25 02:49:03,2017-02-25,58,"water_(sparkling)_1"
1506,2017-02-24 22:43:38,2017-02-24,57,"water_(sparkling)_1"
1506,2017-02-24 04:36:01,2017-02-24,57,"water_(sparkling)_1"
1506,2017-02-24 04:35:31,2017-02-24,57,"water_(sparkling)_1"
1506,2017-02-23 15:12:57,2017-02-23,58,"water_(sparkling)_1"
1506,2017-02-23 12:25:37,2017-02-23,58,"water_(sparkling)_1"
1506,2017-02-23 10:42:53,2017-02-23,58,"water_(sparkling)_1"
1506,2017-02-22 21:47:39,2017-02-22,57,"water_(sparkling)_1"
1506,2017-02-22 16:14:50,2017-02-22,58,"water_(sparkling)_1"
1506,2017-02-22 13:02:06,2017-02-22,58,"water_(sparkling)_1"
1506,2017-02-22 03:42:28,2017-02-22,57,"water_(sparkling)_1"
1506,2017-02-22 01:30:32,2017-02-22,58,"water_(sparkling)_1"
1506,2017-02-21 02:14:56,2017-02-21,57,"water_(sparkling)_1"
1506,2017-02-20 12:06:33,2017-02-20,57,"water_(sparkling)_1"
1506,2017-03-05 04:43:54,2017-03-05,57,"water_(sparkling)_1"
1506,2017-03-05 04:26:22,2017-03-05,57,"water_(sparkling)_1"
1506,2017-03-05 04:25:30,2017-03-05,57,"water_(sparkling)_1"
1506,2017-03-05 03:21:37,2017-03-05,58,"water_(sparkling)_1"
1506,2017-03-04 23:12:27,2017-03-04,58,"water_(sparkling)_1"
1506,2017-03-04 03:45:59,2017-03-04,58,"water_(sparkling)_1"
