shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,1.0,3291,MMM,159.96001,462223.0,-0.001373,576822.0,2020-10-01,92268452.88822,2020-10-01,10.0,6.4,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,3519,CMI,207.25,175238.0,0.079173,147676.0,2020-08-01,30605851.0,2020-08-01,10.0,6.4,AAA,,,,,7.63,-0.22,-2.96,0.01,0.55
12.0,1.0,1389,CLB,20.93,85544.0,-0.018753,44484.0,2020-08-01,931050.12,2020-08-01,7.8,6.8,AA,,,,,7.63,-0.22,-2.96,0.01,0.55
12.0,1.0,8741,INFO,99.46,445860.0,0.229875,398359.0,2020-11-01,39620786.14,2020-11-01,8.2,6.7,AA,,,,,12.47,5.81,2.13,0.01,-12.43
12.0,3.0,2834,BLU,2.31,123258.0,0.017621,60149.0,2020-10-01,138944.19,2020-10-01,2.8,4.2,B,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,3579,PBI,5.31,467228.0,-0.032787,173082.0,2020-09-01,919065.42,2020-09-01,7.0,6.5,A,,,,,-3.63,0.04,-2.68,0.01,3.12
44.0,3.0,6726,CGO,11.63,7396.0,-0.010961,8816.0,2020-10-01,102530.08,2020-10-01,8.1,6.6,AA,,,,,-2.1,4.37,4.22,0.01,-3.05
31.0,1.0,2911,SHI,20.54,7651.0,-0.069746,3957.0,2020-08-01,81276.78,2020-08-01,10.0,7.0,AAA,,,,,7.63,-0.22,-2.96,0.01,0.55
11.0,1.0,3842,IVC,7.43,111671.0,-0.019789,33912.0,2020-03-01,251966.16,2020-03-01,10.0,7.4,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,7363,RHI,58.17,219562.0,-0.07886,117561.0,2020-01-01,6838523.37,2020-01-01,8.2,6.7,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
73.0,4.0,6726,DUST,34.85,3609252.0,-0.536877,3263.0,2020-04-01,113715.55,2020-04-01,10.0,6.9,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
11.0,3.0,7372,APPS,44.98,917921.0,0.569435,88697.0,2020-11-01,3989591.06,2020-11-01,4.7,4.95,AA,,,,,12.47,5.81,2.13,0.01,-12.43
12.0,1.0,8741,INFO,89.83,913024.0,-0.096823,396486.0,2020-12-01,35616337.38,2020-12-01,8.2,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,1.0,3842,IVC,7.04,64879.0,0.105181,34419.0,2020-07-01,242309.76,2020-07-01,10.0,7.2,AAA,,,,,5.77,-2.32,-1.37,0.01,7.61
14.0,1.0,6722,IFN,15.48,25738.0,0.075778,26905.0,2020-06-01,416489.4,2020-06-01,9.4,7.5,AAA,,,,,2.46,2.7,-2.17,0.01,-0.73
12.0,1.0,5099,JCI,31.41,1103107.0,0.079011,743862.0,2020-05-01,23364705.42,2020-05-01,10.0,6.8,AAA,,,,,5.58,2.47,-4.89,0.01,0.43
11.0,1.0,2621,BCC,39.92,67411.0,-0.128384,39197.0,2020-09-01,1564744.24,2020-09-01,10.0,7.1,AAA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,3.0,7370,MSFT,202.47,6307778.0,-0.03737,7560496.0,2020-10-01,1530773625.12,2020-10-01,10.0,7.4,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
