shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,3.0,3620.0,SEV,4.1501,560.0,-0.126295,3475.0,2012-10-01,14421.5975,2012-10-01,7.9,6.52,AA,-0.000907967,-0.003859533,-0.014234192,-0.035789725,-1.76,-1.16,3.59,0.01,0.14
11.0,1.0,3841.0,MMM,86.71,641224.0,0.103883,713134.0,2010-09-01,61835849.13999999,2010-09-01,7.94,7.62,AA,0.001839283,0.023208767,0.007832017,-0.012325325,9.54,3.97,-3.18,0.01,1.41
11.0,1.0,3841.0,MMM,106.31,501416.0,0.022212,690764.0,2013-03-01,73435120.84,2013-03-01,6.329000000000001,5.699999999999999,AAA,0.002466275,0.000432658,0.001337217,-0.010603467,4.03,0.81,-0.19,0.0,1.92
11.0,1.0,3674.0,TXN,32.83,2175181.0,-0.069972,1161169.0,2011-06-01,38121178.27,2011-06-01,4.64,5.31,BBB,0.006972025,0.004056217,-0.00604285,0.016532033,-1.75,-0.15,-0.39,0.0,1.78
44.0,2.0,6726,UTG,30.26,22028.0,-0.029015,29014.0,2015-03-01,877963.64,2015-03-01,7.4,6.4,AA,0.032549283,-0.021895333,0.004033567,-0.020563258,-1.12,3.04,-0.37,0.0,2.74
12.0,1.0,1311,SU,33.31,975768.0,-0.139054,1617548.0,2018-10-01,53880523.88,2018-10-01,8.15,6.35,A,-0.056713083,-0.0289703,0.0173875,0.004624725,-7.68,-4.77,3.44,0.19,-1.99
11.0,3.0,7361,KELYA,24.03,24233.0,-0.046807,35300.0,2018-09-01,848259.0,2018-09-01,8.3,6.6,AA,-0.005634583,0.004664483,0.002152017,0.006599042,0.06,-2.28,-1.69,0.15,0.04
31.0,1.0,3612,ABB,26.82,348690.0,0.041958,150513.0,2017-12-01,4036758.66,2017-12-01,8.2,6.4,AA,-0.024018125,0.00477915,-0.008567133,-0.016049375,1.06,-1.32,0.05,0.09,-1.54
11.0,3.0,5990,PDCO,47.4,219647.0,0.10104,99430.0,2015-10-01,4712982.0,2015-10-01,10.0,7.1,AAA,-0.036427325,0.039352867,-0.004362908,0.005633967,7.75,-1.87,-0.46,0.0,-3.28
11.0,1.0,4923.0,SE,24.99,548057.0,0.051325,648222.0,2010-12-01,16199067.78,2010-12-01,6.37,5.22,A,0.027777883,-0.000319158,0.003834375,-0.024195,6.82,0.69,3.76,0.01,-3.03
11.0,1.0,3084,WMS,32.79,48861.0,0.143305,57782.0,2019-06-01,1894671.78,2019-06-01,6.7,6.1,A,,,,,6.93,0.27,-0.72,0.18,-2.3
11.0,1.0,3531.0,CAT,55.06,2519390.0,0.080849,623000.0,2009-10-01,34302380.0,2009-10-01,4.28,4.87,BB,-0.002063675,0.025421908,-0.004506958,0.055239225,-2.59,-4.34,-4.2,0.0,2.61
11.0,1.0,6162.0,SGM,7.85,15925.0,0.012903,25854.0,2017-02-01,202953.9,2017-02-01,10.0,8.1,AAA,-0.021861525,-0.030681708,0.03963685,0.011828475,3.57,-2.02,-1.68,0.04,-1.65
31.0,1.0,5141,UL,41.71,243336.0,-0.054409,166364.0,2015-03-01,6939042.44,2015-03-01,8.8,7.7,AAA,0.032549283,-0.021895333,0.004033567,-0.020563258,-1.12,3.04,-0.37,0.0,2.74
