shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,1.0,2111,LO,62.17,774113.0,0.056631,362539.0,2014-05,22539049.63,2014-05-01,0.7,0.8,CCC,-0.0066736,0.011971642,0.012461125,0.00747155,2.06,-1.88,-0.13,0.0,0.87
,,,HMV-LN,,,,,2011-06,,2011-06-01,6.18,5.75,A,0.006972025,0.004056217,-0.00604285,0.016532033,-1.75,-0.15,-0.39,0.0,1.78
11.0,1.0,3241.0,EXP,97.14,151598.0,-0.06335,48410.0,2017-03,4702547.4,2017-03-01,2.2,3.3,B,-0.018273858,0.000117925,0.00174255,0.013374767,0.17,1.14,-3.32,0.03,-1.02
11.0,3.0,2821,HRTX,18.5,191729.0,-0.00108,90051.0,2019-09,1665943.5,2019-09-01,2.4,3.9,B,,,,,1.43,-0.97,6.74,0.18,-6.81
11.0,1.0,2033.0,MLP,13.65,6679.0,0.161702,19012.0,2017-04,259513.8,2017-04-01,3.4,4.3,BB,-0.003267042,-0.002472692,0.014067642,0.001014125,1.09,0.72,-2.1,0.05,0.48
,,,IT-MI,,,,,2010-06,,2010-06-01,6.05,5.57,A,-0.031227517,-0.011080317,-0.011441875,0.005633958,-5.57,-1.82,-4.7,0.01,-2.76
11.0,1.0,6712,FCB,34.73,56176.0,0.092138,35738.0,2015-07,1241180.74,2015-07-01,6.5,4.8,A,-0.043095083,-0.023842558,0.053260867,-0.028371625,1.54,-4.19,-4.13,0.0,9.98
11.0,3.0,3674,AMKR,7.15,359072.0,-0.032476,239533.0,2018-10,1712660.9500000002,2018-10-01,2.6,4.7,B,-0.056713083,-0.0289703,0.0173875,0.004624725,-7.68,-4.77,3.44,0.19,-1.99
,,,PNN,,,,,2013-07,,2013-07-01,6.9,6.2,A,0.023793058,-0.018698142,0.015696567,-0.016062967,5.65,1.86,0.57,0.0,1.76
,,,6504,,,,,2020-03,,2020-03-01,6.3,5.8,A,,,,,-13.39,-4.86,-13.95,0.13,7.97
,,,LKOH,,,,,2013-12,,2013-12-01,4.4,4.4,BBB,-0.00415995,-0.006994908,-0.006124225,0.008683142,2.81,-0.45,-0.02,0.0,0.02
,,,AUTO-MI,,,,,2005-03,,2005-03-01,6.44,5.38,A,-0.007553858,0.016873425,,,-1.97,-1.4,2.04,0.21,0.41
11.0,3.0,6020,FMBI,16.09,78795.0,-0.040356,75295.0,2014-09,1211496.55,2014-09-01,2.6,3.6,B,-0.019768433,-0.035909633,0.037610742,0.008333083,-1.97,-3.72,-1.34,0.0,0.5
,,,MKC-N,,,,,2006-02,,2006-02-01,5.0,5.3,BBB,-0.010109558,-0.008767792,,,-0.3,-0.38,-0.35,0.34,-1.84
